"Key_Code","Difficulty","Hand","Finger"
"101","4.6","left","pinky"
"102","4.6","left","pinky"
"103","1.5","left","pinky"
"104","1.5","left","thumb"
"105","1","left","thumb"
"106","1","left","thumb"
"107","1","left","thumb"
"108","1","right","thumb"
"109","1","right","thumb"
"110","1.5","right","thumb"
"111","1.5","right","thumb"
"112","2","right","pinky"
"113","4.6","right","pinky"
"114","4.6","right","pinky"
"201","4.6","left","pinky"
"202","3.3","left","pinky"
"203","2.7","left","ring"
"204","2.4","left","middle"
"205","1.8","left","index"
"206","2.2","left","index"
"207","3.7","left","index"
"208","2.2","right","index"
"209","1.8","right","index"
"210","2.4","right","middle"
"211","2.7","right","ring"
"212","3.3","right","pinky"
"213","4.6","right","pinky"
"301","3.4","left","pinky"
"302","1.6","left","pinky"
"303","1.3","left","ring"
"304","1.1","left","middle"
"305","1","left","index"
"306","2.9","left","index"
"307","2.9","right","index"
"308","1","right","index"
"309","1.1","right","middle"
"310","1.3","right","ring"
"311","1.6","right","pinky"
"312","3.4","right","pinky"
"313","4.8","right","pinky"
"314","5.8","right","pinky"
"401","4.2","left","pinky"
"402","3","left","pinky"
"403","2.5","left","ring"
"404","2.1","left","middle"
"405","2.3","left","index"
"406","2.6","left","index"
"407","3.4","right","index"
"408","2.2","right","index"
"409","2","right","middle"
"410","2.4","right","ring"
"411","3","right","pinky"
"412","3.6","right","pinky"
"413","4.7","right","pinky"
"414","5.6","right","pinky"
"501","5.5","left","pinky"
"502","4.6","left","pinky"
"503","4","left","ring"
"504","3.4","left","ring"
"505","2.9","left","middle"
"506","2.9","left","index"
"507","3.5","left","index"
"508","4","right","index"
"509","2.9","right","index"
"510","2.9","right","middle"
"511","3","right","middle"
"512","3.5","right","ring"
"513","4.2","right","pinky"
"514","5.1","right","pinky"
"515","5.8","right","pinky"
"601","5.8","left","pinky"
