Key_Code,Difficulty
101,4.6
102,4.6
103,1.5
104,1.5
105,1
106,1
107,1.5
108,2
109,4.6
110,4.6
201,4.6
202,3.3
203,2.7
204,2.4
205,1.8
206,2.2
207,3.7
208,2.2
209,1.8
210,2.4
211,2.7
212,3.3
213,4.6
301,3.4
302,1.6
303,1.3
304,1.1
305,1
306,2.9
307,2.9
308,1
309,1.1
310,1.3
311,1.6
312,3.4
313,4.8
314,5.8
401,4.2
402,3
403,2.5
404,2.1
405,2.3
406,2.6
407,3.4
408,2.2
409,2
410,2.4
411,3
412,3.6
413,4.7
414,5.6
501,5.5
502,4.6
503,4
504,3.4
505,2.9
506,2.9
507,3.5
508,4
509,2.9
510,2.9
511,3
512,3.5
513,4.2
514,5.1
515,5.8
601,1
